time,elapsed_time,OD_135_V,OD_Ref_V,OD_90_V,temperature_C,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B,pump_inflow_time_s,pump_outflow_time_s,ekf_od_est,ekf_growth_rate,ekf_doubling_time_s,ekf_od_std,ekf_growth_rate_std,ekf_doubling_time_std_s
2026-06-29 00:30:32,301192.1137120724,0.0578875,0.7134027777777778,0.04411363636363636,30.0,3.978248862947924,0.0,0.0,0.0,0.0,139740.0,153714.0,0.0579006766934305,1.0002186657154521,31702.636511955323,0.037800777411646634,0.00036406894140838706,52777.74619096818
2026-06-29 00:30:42,301202.11377596855,0.058475,0.7295520833333334,0.04494318181818182,30.0,3.973598799089892,0.0,0.0,0.0,0.0,139740.0,153714.0,0.058094600888842114,1.0002186671982911,31702.395097287557,0.031115579271018858,0.0003640757657742647,52777.97564315101
2026-06-29 00:30:52,301212.11382961273,0.05881818181818182,0.6954166666666667,0.04530208333333333,30.0,3.973598799089892,0.0,0.0,0.0,0.0,139740.0,153714.0,0.05881818181818182,1.0002186671982911,31702.362596203257,0.05222329678670936,0.00036408263241209025,52778.91695160405
2026-06-29 00:31:02,301222.11390018463,0.05880208333333334,0.7170961538461539,0.04589423076923078,30.0,3.968948737892611,0.0,0.0,0.0,0.0,139740.0,153714.0,0.05880208333333334,1.0002186671982911,31702.41626078431,0.05222329678670936,0.00036408949892041275,52780.00169278674
2026-06-29 00:31:12,301232.1139719486,0.05877884615384616,0.7370892857142858,0.04465178571428572,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139740.0,153714.0,0.05877884615384616,1.0002186671982911,31702.42003998016,0.05222329678670936,0.0003640963652992395,52781.00336494905
2026-06-29 00:31:22,301242.114038229,0.058303571428571434,0.7277053571428571,0.044508928571428574,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139740.0,153714.0,0.058303571428571434,1.0002186671982911,31702.402655679256,0.05222329678670936,0.0003641032315485778,52781.96978304473
2026-06-29 00:31:32,301252.1141078472,0.05870535714285714,0.7392410714285714,0.044580357142857144,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139770.0,153747.0,0.05850161849813636,1.000218667723215,31702.337142362216,0.037800777463246164,0.00036411008334697153,52782.72725071046
2026-06-29 00:31:42,301262.1141719818,0.05860714285714286,0.7239732142857144,0.04441964285714286,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139770.0,153747.0,0.05854433796273322,1.0002186679703455,31702.283933217936,0.03111557947174845,0.0003641169061379528,52783.56805466761
2026-06-29 00:31:52,301272.11424064636,0.05902678571428572,0.7086517857142857,0.045473214285714283,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139770.0,153747.0,0.05902678571428572,1.0002186679703455,31702.298294111464,0.05222329678670936,0.00036412377199995436,52784.58726330474
2026-06-29 00:32:02,301282.1143088341,0.058616071428571434,0.7275267857142858,0.045580357142857145,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139770.0,153747.0,0.058616071428571434,1.0002186679703455,31702.29678243846,0.05222329678670936,0.0003641306377324967,52785.58002562467
