time,elapsed_time,temperature_C,OD_135_V,OD_Ref_V,OD_90_V,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B,ekf_od_est,ekf_growth_rate,ekf_doubling_time_s,ekf_od_std,ekf_growth_rate_std,ekf_doubling_time_std_s
2026-05-27 14:40:12,98251.48838376999,30.0,0.25284615384615383,1.0593076923076923,0.7550769230769231,5.0610979255232555,0.0,0.0,0.0,0.0,0.25376111486846875,0.9999949622668275,inf,0.003687905101235503,4.6889016731826046e-05,inf
2026-05-27 14:40:32,98271.48851943016,30.0,0.2454519230769231,1.195298076923077,0.6511826923076923,5.0658230586788395,0.0,0.0,0.0,0.0,0.25372217191498264,0.9999946238174585,inf,0.003687917260965051,4.6889000999335635e-05,inf
2026-05-27 14:40:52,98291.48865652084,30.062,0.27252884615384615,0.7421442307692309,0.7327980769230769,5.061172934066985,0.0,0.0,0.0,0.0,0.253806076007865,0.9999953900265193,inf,0.0036879268342568487,4.6888984765582504e-05,inf
2026-05-27 14:41:12,98311.48879528046,30.0,0.2520673076923077,0.9508365384615385,0.6451826923076923,5.061172934066985,0.0,0.0,0.0,0.0,0.2537970283260204,0.999995319239088,inf,0.0036879419342997874,4.68889677947865e-05,inf
2026-05-27 14:41:32,98331.48931288719,30.0,0.2385865384615385,0.7197692307692307,0.7153846153846154,5.05652275424454,0.0,0.0,0.0,0.0,0.25372688634425755,0.9999946996283757,inf,0.0036879563971966745,4.6888950119322366e-05,inf
2026-05-27 14:41:52,98351.48943257332,30.0,0.23508653846153849,0.9863269230769232,0.6624423076923077,5.05652275424454,0.0,0.0,0.0,0.0,0.2536410378823606,0.9999939402917662,inf,0.003687966200453088,4.688893194571732e-05,inf
2026-05-27 14:42:12,98371.48960995674,30.0,0.24191346153846152,1.255798076923077,0.727923076923077,5.05652275424454,0.0,0.0,0.0,0.0,0.2535863384484417,0.9999934625821113,inf,0.003687970340227261,4.688891352305815e-05,inf
2026-05-27 14:42:32,98391.48974704742,30.0,0.26887500000000003,0.6917692307692308,0.7263365384615385,4.307872626971919,0.0,0.0,0.0,0.0,0.2536540025193423,0.9999940854982755,inf,0.003687970907579828,4.688889500868821e-05,inf
2026-05-27 14:42:52,98411.48987102509,30.0,0.24217307692307694,0.987326923076923,0.6889903846153846,5.0472224914953445,0.0,0.0,0.0,0.0,0.253600457755531,0.9999936178338308,inf,0.0036879759908099497,4.6888876208750144e-05,inf
2026-05-27 14:43:12,98431.48999452591,30.0,0.2600769230769231,0.700298076923077,0.8133846153846154,5.0472224914953445,0.0,0.0,0.0,0.0,0.2536282090936271,0.9999938817471457,inf,0.0036879775707932025,4.688885727774608e-05,inf
2026-05-27 14:43:32,98451.49063181877,30.0,0.23635576923076923,1.3551730769230768,0.7129903846153846,5.0472224914953445,0.0,0.0,0.0,0.0,0.2535483557076053,0.9999931781399659,inf,0.003687981028855054,4.68888381362884e-05,inf
2026-05-27 14:43:52,98471.49070167542,30.0,0.23658653846153846,1.054375,0.7263076923076923,5.0472224914953445,0.0,0.0,0.0,0.0,0.25346973357257574,0.9999924871947588,inf,0.0036879792603921996,4.6888819013202245e-05,inf
2026-05-27 14:44:12,98491.49088358879,30.0,0.24790384615384614,0.6972307692307692,0.6802115384615385,5.0472224914953445,0.0,0.0,0.0,0.0,0.25344260379870154,0.9999922605214697,inf,0.003687972381944513,4.688880013121847e-05,inf
2026-05-27 14:44:32,98511.49100804329,30.0,0.2548846153846154,1.2183173076923077,0.7340769230769231,5.0472224914953445,0.0,0.0,0.0,0.0,0.2534471888149541,0.9999923193478828,inf,0.003687963821776935,4.688878156349621e-05,inf
2026-05-27 14:44:52,98531.49116897583,30.0,0.2293653846153846,0.7146826923076923,0.9935192307692307,5.0472224914953445,0.0,0.0,0.0,0.0,0.2533360719903874,0.9999913383547254,inf,0.003687955681448139,4.688876329179122e-05,inf
2026-05-27 14:45:12,98551.49133014679,30.0,0.23254807692307694,0.7059711538461539,0.7593942307692308,5.0472224914953445,0.0,0.0,0.0,0.0,0.25323964245699593,0.999990491563487,inf,0.0036879403328940624,4.6888745628471776e-05,inf
2026-05-27 14:45:32,98571.49172949791,30.0,0.2405096153846154,1.1289807692307692,0.7511730769230769,5.0472224914953445,0.0,0.0,0.0,0.0,0.2531795328429433,0.9999899730581684,inf,0.003687918793252862,4.688872884040217e-05,inf
2026-05-27 14:45:52,98591.49205684662,30.0,0.24521153846153845,1.5950192307692308,0.7219615384615385,5.0472224914953445,0.0,0.0,0.0,0.0,0.25314088267757295,0.9999896485598339,inf,0.0036878934985444902,4.6888713087666405e-05,inf
2026-05-27 14:46:12,98611.49219679832,30.0,0.27643269230769235,0.7502596153846154,0.7937211538461538,5.0472224914953445,0.0,0.0,0.0,0.0,0.25324386647595376,0.9999905975229543,inf,0.0036878658889240895,4.6888698467206276e-05,inf
2026-05-27 14:46:32,98631.49232125282,30.0,0.2332596153846154,0.7577403846153847,0.7502884615384615,5.051947614737484,0.0,0.0,0.0,0.0,0.25315089952656883,0.9999897835124057,inf,0.0036878453146574424,4.688868467036449e-05,inf
