time,elapsed_time,OD_135_V,OD_Ref_V,OD_90_V,temperature_C,CO2_ppm,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B
2026-02-25 03:36:58,216182.29611706734,0.2699134615384616,0.7713173076923077,0.7054038461538461,30.0,5000,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:37:18,216202.29614186287,0.2912589285714286,0.8741964285714285,0.7789107142857142,30.0,5020,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:37:38,216222.296230793,0.2629107142857143,0.8595803571428571,0.7720625,30.0,5000,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:37:58,216242.2963488102,0.27075,0.8742019230769231,0.7171923076923078,30.0,4980,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:38:18,216262.2964363098,0.26503846153846156,0.7590673076923077,0.6539807692307692,30.0,4980,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:38:38,216282.2965013981,0.2677946428571429,0.8265446428571429,0.7758839285714286,30.0,5000,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:38:58,216302.29659485817,0.2489375,0.8035535714285714,0.6845267857142857,30.0,5010,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:39:18,216322.29666233063,0.2628214285714286,0.7555446428571428,0.7030446428571429,30.0,4990,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:39:38,216342.29674482346,0.2661160714285714,0.8023125000000001,0.7279285714285715,30.0,4980,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:39:58,216362.29682326317,0.2631964285714286,0.7381160714285714,0.8145803571428571,30.0,4980,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:40:18,216382.2968890667,0.27348076923076925,0.7977019230769231,0.8088557692307692,30.0,4970,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:40:38,216402.29695820808,0.25709615384615386,0.7701250000000001,0.740048076923077,30.0,5000,9.487151703500142,0.0,0.0,0.0,0.0
2026-02-25 03:40:58,216422.29703211784,0.2675089285714286,0.7680714285714286,0.7085892857142857,30.0,4970,8.73850163542924,0.0,0.0,0.0,0.0
2026-02-25 03:41:18,216442.29970169067,0.27337500000000003,0.7698392857142858,0.7249464285714285,30.0,4980,9.477851571349492,0.0,0.0,0.0,0.0
