time,CO2_ppm,CO2_2_ppm,O2_percent
1763395972.4791315,5200,5500,20.91
1763395977.4791906,5190,5450,20.91
1763395982.480802,5150,5350,20.91
1763395987.479432,5060,5260,20.91
1763395992.47943,5010,5140,20.91
1763395997.4796157,4930,5070,20.91
1763396002.484031,4930,5070,21.04
1763396007.479716,4920,5110,21.01
1763396012.4834993,4920,5140,20.95
1763396017.479889,4880,5140,20.93
1763396022.4799817,4870,5120,20.92
1763396027.4801192,4820,5090,20.92
1763396032.4801185,4770,5040,20.92
1763396037.4802852,4720,5000,20.92
1763396042.4802816,4690,4930,20.92
1763396047.4804478,4650,4890,20.92
1763396052.4804816,4590,4800,20.92
1763396057.4805815,4520,4680,20.93
1763396062.48081,4490,4650,21.05
1763396067.480769,4460,4680,21.03
1763396072.4840147,4420,4700,20.96
1763396077.4809172,4420,4700,20.94
1763396082.481075,4410,4670,20.94
1763396087.4819303,4410,4650,20.94
1763396092.4811714,4390,4610,20.93
1763396097.4813054,4370,4570,20.93
1763396102.4813347,4340,4540,20.93
1763396107.481478,4310,4490,20.94
1763396112.4814827,4230,4440,20.94
1763396117.4816906,4230,4340,20.94
1763396122.4822912,4220,4320,21.05
1763396127.4817424,4200,4350,21.03
1763396132.5158165,4180,4360,20.96
1763396137.481904,4170,4360,20.95
1763396142.549336,4140,4360,20.95
1763396147.48206,4110,4350,20.95
1763396152.4822056,4080,4330,20.95
1763396157.502913,4070,4300,20.94
1763396162.482305,4000,4270,20.93
1763396167.4824305,3940,4190,20.93
1763396172.4824717,3890,4150,20.95
1763396177.4826756,3860,4070,20.95
1763396182.4839013,3790,4050,21.05
1763396187.4828267,3780,4060,21.04
1763396192.4828598,3780,4060,20.97
1763396197.4829235,3770,4050,20.95
1763396202.4830403,3770,4040,20.95
1763396207.483073,3750,4030,20.95
1763396212.4832428,3750,4010,20.95
1763396217.483859,3740,3980,20.95
1763396222.4833217,3670,3930,20.95
1763396227.4834628,3620,3870,20.95
1763396232.4834785,3590,3820,20.95
1763396237.4840841,3590,3750,20.95
1763396242.483735,3590,3730,21.05
1763396247.483855,3570,3750,21.04
1763396252.4838676,3530,3760,20.97
1763396257.4839377,3490,3750,20.96
1763396262.4840834,3470,3730,20.95
1763396267.4840922,3460,3700,20.95
1763396272.484163,3430,3670,20.95
1763396277.4842596,3390,3630,20.95
1763396282.4843872,3360,3600,20.95
1763396287.4844131,3330,3560,20.95
1763396292.4845097,3280,3530,20.95
1763396297.4863605,3270,3460,20.95
1763396302.4864173,3250,3450,21.06
1763396307.4864404,3260,3470,21.04
1763396312.486552,3240,3470,20.97
1763396317.486666,3240,3470,20.96
1763396322.48667,3230,3470,20.96
1763396327.4867551,3220,3450,20.96
1763396332.4868956,3220,3440,20.96
1763396337.4869235,3210,3410,20.96
1763396342.4870718,3180,3390,20.95
1763396347.4887896,3170,3320,20.95
1763396352.4871538,3140,3270,20.95
1763396357.4873528,3110,3200,20.96
1763396362.4873433,3050,3190,21.06
1763396367.487454,3030,3210,21.04
1763396372.4875026,3010,3220,20.97
1763396377.4875994,3000,3210,20.96
1763396382.487787,3000,3190,20.96
1763396387.4878569,2980,3170,20.96
1763396392.4878912,2960,3150,20.95
1763396397.4879549,2930,3130,20.95
1763396402.4881086,2930,3090,20.95
1763396407.488114,2900,3070,20.95
1763396412.488262,2870,3030,20.95
1763396417.4883804,2850,2990,20.96
1763396422.4891438,2840,2980,21.07
1763396427.5025349,2810,2990,21.04
1763396432.489536,2780,3000,20.98
1763396437.536055,2770,3000,20.96
1763396442.4894557,2760,2990,20.96
1763396447.5695927,2760,2990,20.96
1763396452.4918706,2750,2980,20.96
1763396457.4897022,2730,2970,20.96
1763396462.5155296,2730,2940,20.95
1763396467.4898398,2720,2930,20.96
1763396472.4899504,2690,2890,20.96
1763396477.4900184,2650,2850,20.96
1763396482.584189,2650,2830,21.07
1763396487.49015,2630,2830,21.04
1763396492.4902444,2630,2830,20.97
1763396497.4903579,2590,2830,20.97
1763396502.49229,2580,2820,20.96
1763396507.492364,2570,2820,20.96
1763396512.4927094,2560,2800,20.96
1763396517.492637,2560,2780,20.96
1763396522.4926739,2560,2760,20.96
1763396527.492745,2550,2740,20.96
1763396532.492868,2530,2690,20.96
1763396537.4929025,2510,2660,20.96
1763396542.493034,2490,2640,21.07
1763396547.4967873,2470,2640,21.04
1763396552.4931312,2420,2650,20.98
1763396557.4932694,2400,2650,20.97
1763396562.4933193,2410,2650,20.96
1763396567.4934518,2400,2640,20.96
1763396572.4934876,2380,2630,20.96
1763396577.4936125,2340,2620,20.96
1763396582.4936235,2330,2600,20.96
1763396587.493699,2280,2580,20.96
1763396592.4938395,2270,2560,20.96
1763396597.4939277,2270,2540,20.96
1763396602.4964106,2270,2520,21.08
1763396607.4963763,2270,2520,21.04
1763396612.496535,2270,2520,20.98
1763396617.4965389,2260,2510,20.97
1763396622.4966335,2240,2500,20.96
1763396627.4967706,2240,2500,20.96
1763396632.4967878,2250,2480,20.96
1763396637.4969199,2230,2470,20.96
1763396642.496969,2210,2450,20.96
1763396647.4970295,2170,2430,20.96
1763396652.497197,2150,2410,20.96
1763396657.4973288,2150,2390,20.97
1763396662.4974635,2140,2370,21.08
1763396667.497444,2140,2370,21.05
1763396672.4975536,2120,2370,20.98
1763396677.4975555,2110,2360,20.97
1763396682.497706,2110,2360,20.96
1763396687.4977262,2100,2350,20.96
1763396692.497847,2060,2330,20.96
1763396697.497961,2060,2320,20.96
1763396702.497991,2060,2310,20.96
1763396707.498049,2050,2280,20.96
1763396712.4982786,2040,2270,20.96
